etf_id,assetid,subclassid,sub_subclassid,amcid,ETF,SYMBOL,isin_code,Holding,Amount,,
44,3,5,,15,Motilal Oswal Gold ETF,MOGOLD,INF247L01FY4,Gold,97.31,,
44,,,,,,,INF247L01FY4,Cash & Cash Equivalents,2.69,,
45,3,5,,19,Nippon India ETF Gold BeES,GOLDBEES,INF204KB17I5,Gold 995 1kg Bar,32.04,,
45,,,,,,,INF204KB17I5,Gold 995 1kg Bar - Delhi,29.92,,
45,,,,,,,INF204KB17I5,Gold 995 1kg Bar - Ahmedabad,15.03,,
45,,,,,,,INF204KB17I5,Gold 995 1kg Bar - Chennai,14.95,,
45,,,,,,,INF204KB17I5,Gold 995 1kg Bar - Kolhapur,6.65,,
45,,,,,,,INF204KB17I5,Clearing Corporation of India Ltd,0.01,,
46,3,5,,22,Quantum Gold Exchange Traded Fund - Open Ended,QGOLDHALF,INF082J01408,Gold 995 Purity 1kg Bar At Mumbai Location,89.84,,
46,,,,,,,INF082J01408,Gold 995 Purity 1kg Bar At Ahmedabad Location,8.8,,
46,,,,,,,INF082J01408,Net Receivable/(Payable),1.03,,
46,,,,,,,INF082J01408,Gold 999 Purity 100 Gram Bar At Mumbai Location,0.28,,
46,,,,,,,INF082J01408,Gold 999 Purity 100 Gram Bar At Ahmedabad Location,0.05,,
46,,,,,,,INF082J01408,Treps,0.01,,
47,3,5,,2,SBI Gold Exchange Traded Scheme - Growth Option,SETFGOLD,INF200KA16D8,Gold,98.45,,
47,,,,,,,INF200KA16D8,Net Receivable / Payable,1.55,,
47,,,,,,,INF200KA16D8,Treps,0.01,,
48,3,5,,12,Tata Gold Exchange Traded Fund,TATAGOLD,INF277KA1976,Gold Physical - Purity 995,97.73,,
48,,,,,,,INF277KA1977,Cash / Net Current Asset,2.27,,
48,,,,,,,INF277KA1978,A) Repo,0,,
49,3,5,,1,Union Gold ETF,UNIONGOLD,INF582M01KS4,Gold,97.66,,
49,,,,,,,INF582M01KS4,Treps,2.34,,
50,3,5,,20,UTI Gold Exchange Traded Fund - Open Ended,GOLDSHARE,INF789F1AUX7,Gold - Bullion,99.06,,
50,,,,,,,INF789F1AUX7,NCA,0.91,,
50,,,,,,,INF789F1AUX7,TREPS Maturing On 01.01.2026,0.02,,
51,3,5,,11,Zerodha Gold ETF,GOLDCASE,INF0R8F01042,Gold 995,97.48,,
51,,,,,,,INF0R8F01042,Commodity Derivatives,2.51,,
51,,,,,,,INF0R8F01042,Cash & Cash Equivalents,0.02,,
52,3,6,,3,360 ONE Silver ETF,SILVER360,INF579M01BC3,Silver,98.89,,
52,,,,,,,INF579M01BC3,Treps,1.24,,
52,,,,,,,INF579M01BC3,Net Receivables / (Payables),-0.12,,
53,3,6,,24,Aditya Birla Sun Life Silver ETF,SILVER,INF209KB19F6,Silver,98.67,,
53,,,,,,,INF209KB19F6,Net Receivables / (Payables),1.29,,
53,,,,,,,INF209KB19F6,Clearing Corporation Of India Limited,0.04,,
54,3,6,,10,Axis Silver ETF,AXISILVER,INF846K011K1,Silver,98.38,,
54,,,,,,,INF846K011K1,"Debt, Cash & other current assets",1.62,,
55,3,6,,7,Bandhan Silver ETF,SILVERBND,INF194KB1KI9,,,,
56,3,6,,25,DSP Silver ETF,SILVERADD,INF740KA1RE3,,,,
57,3,6,,14,Edelweiss Silver ETF,ESILVER,INF754K01SF3,Silver,98.39,,
57,,,,,,,INF754K01SF3,Net Receivables/(Payables),1.54,,
57,,,,,,,INF754K01SF3,Clearing Corporation Of India Ltd,0.07,,
58,3,6,,6,Groww Silver ETF,GROWWSLVR,INF666M01LA1,Silver,97.93,,
58,,,,,,,INF666M01LA1,Net Receivable/Payable,2.07,,
59,3,6,,21,HDFC Silver ETF,HDFCSILVER,INF179KC1DI2,Silver,98.44,,
59,,,,,,,INF179KC1DI2,Net Current Assets,1.55,,
59,,,,,,,INF179KC1DI2,Treps - Tri-Party Repo,0.01,,
60,3,6,,9,ICICI Prudential Silver ETF,SILVERIETF,INF109KC1Y56,Silver,98.95,,
60,,,,,,,INF109KC1Y56,Net Current Assets,1.03,,
60,,,,,,,INF109KC1Y56,Treps - Tri-Party Repo,0.02,,
61,3,6,,26,Kotak Silver ETF,SILVER1,INF174KA1KU9,Silver,98.92,,
61,,,,,,,INF174KA1KU9,Net Current Assets/(Liabilities),0.85,,
